Name,RollNo,Branch
Devika Bhat,CE19238,Civil Engineering
Rajat Dutta,AE24740,Aerospace Engineering
Amit Bajaj,E22033,Electronics
Suresh Chakraborty,CE18700,Civil Engineering
Nisha Kumar,CE24294,Civil Engineering
Anupam Malhotra,IT20022,Information Technology
Prakash Chatterjee,CS24849,Computer Science
Jatin Verma,ME22287,Mechanical Engineering
Suresh Patel,M23086,Mathematics
Vani Bhat,IT23645,Information Technology
Payal Trivedi,E23849,Electronics
Varun Kohli,M18419,Mathematics
Payal Mehta,EE19921,Electrical Engineering
Vani Kohli,AE18904,Aerospace Engineering
Radhika Sharma,AE18171,Aerospace Engineering
Ujjwal Reddy,M24835,Mathematics
Kavya Pillai,ME24335,Mechanical Engineering
Simran Ghosh,AE21721,Aerospace Engineering
Ankit Bhat,CS20321,Computer Science
Aman Bansal,M19102,Mathematics
Pooja Khanna,EE20440,Electrical Engineering
Aditya Shah,E22198,Electronics
Sonia Pandey,CE18573,Chemical Engineering
Simran Singh,CE20791,Civil Engineering
Vishal Rao,E21588,Electronics
Amit Goyal,E24315,Electronics
Meera Sharma,B23110,Biotechnology
Bhavya Pandey,M18220,Mathematics
Shivam Pillai,CS24836,Computer Science
Shubham Naidu,CS23440,Computer Science
Sonia Deshpande,B24810,Biotechnology
Sonam Rao,B18747,Biotechnology
Isha Menon,CS18023,Computer Science
Varun Naidu,M23089,Mathematics
Naveen Pillai,AE21253,Aerospace Engineering
Neha Chopra,E19946,Electronics
Ujjwal Kohli,CS23387,Computer Science
Anjali Agarwal,CE18329,Chemical Engineering
Ujjwal Kapoor,CS19211,Computer Science
Neha Bose,ME18080,Mechanical Engineering
Shreya Choudhury,ME21059,Mechanical Engineering
Ayush Pandey,B23953,Biotechnology
Radhika Trivedi,M23886,Mathematics
Ritika Choudhury,M21098,Mathematics
Vani Sarin,CE21610,Chemical Engineering
Divya Saxena,IT22980,Information Technology
Ananya Agarwal,IT24007,Information Technology
Aryan Mehta,AE24178,Aerospace Engineering
Ritu Das,B23308,Biotechnology
Rohan Desai,B21890,Biotechnology
Sakshi Agarwal,CE22854,Chemical Engineering
Shreya Bose,M23978,Mathematics
Priya Joshi,IT24978,Information Technology
Pooja Ghosh,B21067,Biotechnology
Karan Pillai,E23899,Electronics
Aditya Kohli,B22869,Biotechnology
Radhika Chatterjee,E23177,Electronics
Manish Singh,IT20861,Information Technology
Arjun Sharma,AE24135,Aerospace Engineering
Aditi Patel,CE18926,Chemical Engineering
Sakshi Sarin,CS24058,Computer Science
Sanya Garg,CS18535,Computer Science
Tushar Deshpande,AE19397,Aerospace Engineering
Sahil Patil,ME21155,Mechanical Engineering
Payal Mehta,CE18605,Chemical Engineering
Nisha Agarwal,CE24960,Civil Engineering
Samarth Mehta,E18533,Electronics
Aditi Ghosh,IT24860,Information Technology
Meera Patil,CE21613,Chemical Engineering
Sakshi Sethi,AE20588,Aerospace Engineering
Arjun Deshpande,B20547,Biotechnology
Meera Mishra,M23411,Mathematics
Aditya Tiwari,AE20183,Aerospace Engineering
Sagar Mehta,B18836,Biotechnology
Tanvi Gupta,EE18648,Electrical Engineering
Sandeep Sethi,AE23556,Aerospace Engineering
Priya Naidu,ME19410,Mechanical Engineering
